PRODUCT MEAL TYPE MEAL PLAN,SKU,SELLER,PRODUCT,MEAL TYPE,MEAL PLAN,DELIVERY,LABEL,CODE,SP,CP,SP PER TIFFIN,CP PER TIFFIN,DESCRIPTION,STATUS,08 Oz,12 Oz
Angithi Combo Basic Weekly,ANGTH-TD-MT71-W05-ONCA-ANGCO,ANGTH,Angithi Combo,Basic,Weekly,TD,MT71(AN),(AN),$60.94,$27.50,$12.19,$5.50,• 4 Roti • 1 Veg/Non-Veg (12 oz),ACTIVE,-,12 oz
Angithi Combo Basic Monthly,ANGTH-TD-MT71-M20-ONCA-ANGCO,ANGTH,Angithi Combo,Basic,Monthly,TD,MT71(AN),(AN),$229.41,$110.00,$11.47,$5.50,• 4 Roti • 1 Veg/Non-Veg (12 oz),ACTIVE,-,12 oz
Angithi Combo Deluxe 1 Weekly,ANGTH-TD-MT75-W05-ONCA-ANGCO,ANGTH,Angithi Combo,Deluxe 1,Weekly,TD,MT75(AN),(AN),$89.06,$50.00,$17.81,$10.00,• 8 Roti • 1 Veg/Non-Veg (12 oz) • 1 Veg Curry (08 oz) • 1 Rice (12 oz),ACTIVE,08 oz,12 oz
Angithi Combo Deluxe 1 Monthly,ANGTH-TD-MT75-M20-ONCA-ANGCO,ANGTH,Angithi Combo,Deluxe 1,Monthly,TD,MT75(AN),(AN),$335.29,$200.00,$16.76,$10.00,• 8 Roti • 1 Veg/Non-Veg (12 oz) • 1 Veg Curry (08 oz) • 1 Rice (12 oz),ACTIVE,08 oz,12 oz
Angithi Combo Deluxe 2 Weekly,ANGTH-TD-MT76-W05-ONCA-ANGCO,ANGTH,Angithi Combo,Deluxe 2,Weekly,TD,MT76(AN),(AN),$92.19,$52.50,$18.44,$10.50,• 8 Roti • 1 Veg/Non-Veg (12 oz) • 1 Veg Curry (12 oz) • 1 Rice (08 oz),ACTIVE,08 oz,12 oz
Angithi Combo Deluxe 2 Monthly,ANGTH-TD-MT76-M20-ONCA-ANGCO,ANGTH,Angithi Combo,Deluxe 2,Monthly,TD,MT76(AN),(AN),$347.06,$210.00,$17.35,$10.50,• 8 Roti • 1 Veg/Non-Veg (12 oz) • 1 Veg Curry (12 oz) • 1 Rice (08 oz),ACTIVE,08 oz,12 oz
Angithi Combo Deluxe 3 Weekly,ANGTH-TD-MT77-W05-ONCA-ANGCO,ANGTH,Angithi Combo,Deluxe 3,Weekly,TD,MT77(AN),(AN),$95.31,$55.00,$19.06,$11.00,• 8 Roti • 1 Veg/Non-Veg (12 oz) • 1 Veg Curry (12 oz) • 1 Rice (12 oz),ACTIVE,-,12 oz
Angithi Combo Deluxe 3 Monthly,ANGTH-TD-MT77-M20-ONCA-ANGCO,ANGTH,Angithi Combo,Deluxe 3,Monthly,TD,MT77(AN),(AN),$358.82,$220.00,$17.94,$11.00,• 8 Roti • 1 Veg/Non-Veg (12 oz) • 1 Veg Curry (12 oz) • 1 Rice (12 oz),ACTIVE,-,12 oz
Angithi Combo Premium  Weekly,ANGTH-TD-MT74-W05-ONCA-ANGCO,ANGTH,Angithi Combo,Premium,Weekly,TD,MT74(AN),(AN),$81.25,$43.75,$16.25,$8.75,• 6 Roti • 1 Veg/Non-Veg (12 oz) • 1 Veg Curry (12 oz) • 1 Rice (08 oz),ACTIVE,08 oz,12 oz
Angithi Combo Premium  Monthly,ANGTH-TD-MT74-M20-ONCA-ANGCO,ANGTH,Angithi Combo,Premium,Monthly,TD,MT74(AN),(AN),$305.88,$175.00,$15.29,$8.75,• 6 Roti • 1 Veg/Non-Veg (12 oz) • 1 Veg Curry (12 oz) • 1 Rice (08 oz),ACTIVE,08 oz,12 oz
Angithi Combo Regular 1 Weekly,ANGTH-TD-MT72-W05-ONCA-ANGCO,ANGTH,Angithi Combo,Regular 1,Weekly,TD,MT72(AN),(AN),$68.75,$33.75,$13.75,$6.75,• 2 Roti • 1 Veg/Non-Veg (12 oz) • 1 Veg Curry (08 oz) • 1 Rice (12 oz),ACTIVE,08 oz,12 oz
Angithi Combo Regular 1 Monthly,ANGTH-TD-MT72-M20-ONCA-ANGCO,ANGTH,Angithi Combo,Regular 1,Monthly,TD,MT72(AN),(AN),$258.82,$135.00,$12.94,$6.75,• 2 Roti • 1 Veg/Non-Veg (12 oz) • 1 Veg Curry (08 oz) • 1 Rice (12 oz),ACTIVE,08 oz,12 oz
Angithi Combo Regular 2 Weekly,ANGTH-TD-MT73-W05-ONCA-ANGCO,ANGTH,Angithi Combo,Regular 2,Weekly,TD,MT73(AN),(AN),$75.00,$38.75,$15.00,$7.75,• 4 Roti • 1 Veg/Non-Veg (12 oz) • 1 Veg Curry (12 oz) • 1 Rice (12 oz),ACTIVE,-,12 oz
Angithi Combo Regular 2 Monthly,ANGTH-TD-MT73-M20-ONCA-ANGCO,ANGTH,Angithi Combo,Regular 2,Monthly,TD,MT73(AN),(AN),$282.35,$155.00,$14.12,$7.75,• 4 Roti • 1 Veg/Non-Veg (12 oz) • 1 Veg Curry (12 oz) • 1 Rice (12 oz),ACTIVE,-,12 oz
Angithi Combo Extra Roti Weekly,ANGTH-TD-MT0R-W05-ONCA-ACROT,ANGTH,Angithi Combo,Extra Roti,Weekly,TD,MT0R(AN),(AN),$5.00,$3.75,$1.00,$0.75,• Extra Roti,ACTIVE,-,-
Angithi Combo Extra Roti Monthly,ANGTH-TD-MT0R-M20-ONCA-ACROT,ANGTH,Angithi Combo,Extra Roti,Monthly,TD,MT0R(AN),(AN),$20.00,$15.00,$1.00,$0.75,• Extra Roti,ACTIVE,-,-
Angithi Combo Extra Veg (08 oz) Weekly,ANGTH-TD-MT8S-W05-ONCA-ACSUB,ANGTH,Angithi Combo,Extra Veg (08 oz),Weekly,TD,MT8S(AN),(AN),$25.00,$18.75,$5.00,$3.75,• Extra Veg (08 oz),ACTIVE,08 oz,-
Angithi Combo Extra Veg (08 oz) Monthly,ANGTH-TD-MT8S-M20-ONCA-ACSUB,ANGTH,Angithi Combo,Extra Veg (08 oz),Monthly,TD,MT8S(AN),(AN),$100.00,$75.00,$5.00,$3.75,• Extra Veg (08 oz),ACTIVE,08 oz,-
Angithi Combo Extra Veg (12 oz) Weekly,ANGTH-TD-MT0S-W05-ONCA-ACSUB,ANGTH,Angithi Combo,Extra Veg (12 oz),Weekly,TD,MT0S(AN),(AN),$30.00,$22.50,$6.00,$4.50,• Extra Veg (12 oz),ACTIVE,-,12 oz
Angithi Combo Extra Veg (12 oz) Monthly,ANGTH-TD-MT0S-M20-ONCA-ACSUB,ANGTH,Angithi Combo,Extra Veg (12 oz),Monthly,TD,MT0S(AN),(AN),$120.00,$90.00,$6.00,$4.50,• Extra Veg (12 oz),ACTIVE,-,12 oz
Angithi Combo Extra Non-Veg (08 oz) Weekly,ANGTH-TD-MT8N-W05-ONCA-ACSUB,ANGTH,Angithi Combo,Extra Non-Veg (08 oz),Weekly,TD,MT8N(AN),(AN),$30.00,$25.00,$6.00,$5.00,• Extra Non-Veg (08 oz),ACTIVE,08 oz,-
Angithi Combo Extra Non-Veg (08 oz) Monthly,ANGTH-TD-MT8N-M20-ONCA-ACSUB,ANGTH,Angithi Combo,Extra Non-Veg (08 oz),Monthly,TD,MT8N(AN),(AN),$120.00,$100.00,$6.00,$5.00,• Extra Non-Veg (08 oz),ACTIVE,08 oz,-
Angithi Combo Extra Non-Veg (12 oz) Weekly,ANGTH-TD-MT0N-W05-ONCA-ACSUB,ANGTH,Angithi Combo,Extra Non-Veg (12 oz),Weekly,TD,MT0N(AN),(AN),$35.00,$30.00,$7.00,$6.00,• Extra Non-Veg (12 oz),ACTIVE,-,12 oz
Angithi Combo Extra Non-Veg (12 oz) Monthly,ANGTH-TD-MT0N-M20-ONCA-ACSUB,ANGTH,Angithi Combo,Extra Non-Veg (12 oz),Monthly,TD,MT0N(AN),(AN),$140.00,$120.00,$7.00,$6.00,• Extra Non-Veg (12 oz),ACTIVE,-,12 oz
Angithi Combo Extra Curry (08 oz) Weekly,ANGTH-TD-MT8D-W05-ONCA-ACNAL,ANGTH,Angithi Combo,Extra Curry (08 oz),Weekly,TD,MT8D(AN),(AN),$20.00,$18.75,$4.00,$3.75,• Extra Curry (08 oz),ACTIVE,08 oz,-
Angithi Combo Extra Curry (08 oz) Monthly,ANGTH-TD-MT8D-M20-ONCA-ACNAL,ANGTH,Angithi Combo,Extra Curry (08 oz),Monthly,TD,MT8D(AN),(AN),$80.00,$75.00,$4.00,$3.75,• Extra Curry (08 oz),ACTIVE,08 oz,-
Angithi Combo Extra Curry (12 oz) Weekly,ANGTH-TD-MT0D-W05-ONCA-ACNAL,ANGTH,Angithi Combo,Extra Curry (12 oz),Weekly,TD,MT0D(AN),(AN),$40.00,$22.50,$8.00,$4.50,• Extra Curry (12 oz),ACTIVE,-,12 oz
Angithi Combo Extra Curry (12 oz) Monthly,ANGTH-TD-MT0D-M20-ONCA-ACNAL,ANGTH,Angithi Combo,Extra Curry (12 oz),Monthly,TD,MT0D(AN),(AN),$160.00,$90.00,$8.00,$4.50,• Extra Curry (12 oz),ACTIVE,-,12 oz
