SELLER CODE,SELLER NAME,WEB_ADDRESS_EXTENSION
AMINA,Chef Amina,amina-chfmn-9
ANGTH,Angithi,angth-ngth-6
CHEFA,Chef Ammi,chefa-chfm-8
DAWAT,Dawaat Halal,dawat-dwthl-11
DLHUB,Delhi Hub,dlhub-dlhhb-8
FEAST,Spicy Feast,feast-spcyf-10
FIERY,Fiery,fiery-fry-5
HEMIK,Hemi's Kitchen,hemik-hmstk-12
HOMEF,HomeFresh,homef-hmfrsh-9
INFLV,Indias Flavour,inflv-ndasf-13
JOSHI,Mrs Joshi,joshi-mrsjs-8
KHAOK,Khao Khilao,khaok-khkhl-10
KRISK,Krishna's Kitchen Veg,krisk-krshn-18
LALKT,Lal's Kitchen,lalkt-llsk-11
MITZI,Mitzie's,mitzi-mtzs-7
MOKSH,Mokshi's Kitchen,moksh-mkshk-14
MOTIR,S. Motiram,motir-smtrm-9
MUMKT,Mummy's Tiffin,mumkt-mmyst-12
MUMMA,Mumma's Kitchen,mumma-mmmsk-13
PINDI,Pind Di Roti,pindi-pnddr-12
RADHA,Radha Rasoi,radha-rdhrs-10
SPBAR,Spice Bar,spbar-spcbr-8
SRIJI,Shriji Gujarati,sriji-shrjg-14
SUBMA,Subbamma Kitchen,subma-sbbmk-14
TPFUF,TPFU Foods,tpfuf-tpff-9
TPROS,Tiffin Pros,tpros-tffnp-10
TSWAD,The Swad,tswad-thswd-7
WAKHR,Wakhra Chulha,wakhr-wkhrch-12
YUMIB,Yum In Box,yumib-ymnbx-9
